page_number,line_number,event_number,event_name,athlete_name,age,club_name,rank_position,seed_time_text,result_time_text,result_time_ms,status,raw_line
1,46,2,men 25-29 200 LC Meter individual_medley,"Meneses, Felipe",27,Pedro Aguirre Cerda,4,"3:06,80","3:21,99",201990,valid,"4 Meneses, Felipe 27 Pedro Aguirre Cerda 3:06,80 3:21,99"
1,47,2,men 25-29 200 LC Meter individual_medley,"Walder, Raul",26,100 por Ciento Swim,5,NT,"4:11,52",251520,valid,"5 Walder, Raul 26 100 por Ciento Swim NT 4:11,52"
1,49,2,men 30-34 200 LC Meter individual_medley,"Castellano, Ricardo",31,Nunoa Master,1,"2:55,50","2:48,30",168300,valid,"1 Castellano, Ricardo 31 Nunoa Master 2:55,50 2:48,30"
1,50,2,men 30-34 200 LC Meter individual_medley,"Sayago, Alexis",33,Nunoa Master,2,"3:07,16","3:20,24",200240,valid,"2 Sayago, Alexis 33 Nunoa Master 3:07,16 3:20,24"
2,5,2,men 30-34 200 LC Meter individual_medley,"Miranda, Milanch",33,Calambre Swim Team,3,"4:00,00","3:50,37",230370,valid,"3 Miranda, Milanch 33 Calambre Swim Team 4:00,00 3:50,37"
2,7,2,men 35-39 200 LC Meter individual_medley,"Guajardo, Juan Pablo",39,Penñalolen Master,1,"4:00,00","3:29,11",209110,valid,"1 Guajardo, Juan Pablo 39 Penñalolen Master 4:00,00 3:29,11"
2,8,2,men 35-39 200 LC Meter individual_medley,"Aguilera, Juan Carlos",37,Master Providencia,2,"4:15,00","3:51,81",231810,valid,"2 Aguilera, Juan Carlos 37 Master Providencia 4:15,00 3:51,81"
2,9,2,men 35-39 200 LC Meter individual_medley,"Curihuinca, Camilo",35,Natacion Master Recoleta,3,"4:38,00","4:35,60",275600,valid,"3 Curihuinca, Camilo 35 Natacion Master Recoleta 4:38,00 4:35,60"
2,11,2,men 40-44 200 LC Meter individual_medley,"Olivares, Pedro",43,Golden,1,"2:50,00","2:49,32",169320,valid,"1 Olivares, Pedro 43 Golden 2:50,00 2:49,32"
2,12,2,men 40-44 200 LC Meter individual_medley,"Gomez, Carlos",43,Nunoa Master,2,"2:56,11","2:56,17",176170,valid,"2 Gomez, Carlos 43 Nunoa Master 2:56,11 2:56,17"
2,13,2,men 40-44 200 LC Meter individual_medley,"Bricenño, Carlos",41,100 por Ciento Swim,3,NT,"2:57,98",177980,valid,"3 Bricenño, Carlos 41 100 por Ciento Swim NT 2:57,98"
2,14,2,men 40-44 200 LC Meter individual_medley,"Peralta, Leonardo",43,Aquaclub Maipu,4,"2:51,68","2:59,32",179320,valid,"4 Peralta, Leonardo 43 Aquaclub Maipu 2:51,68 2:59,32"
2,15,2,men 40-44 200 LC Meter individual_medley,"Torres, Renzo",42,Natacion Master Recoleta,5,"3:36,00","3:17,78",197780,valid,"5 Torres, Renzo 42 Natacion Master Recoleta 3:36,00 3:17,78"
