page_number,line_number,event_name_context,raw_line,reason
15,48,Mixed 120-159 200 LC Meter Medley Relay,"1) Rojas, Freddy M47 2) Araya, Sofia W27 3) Bricenño, Carlos M41 4) Nahuelpan, Nicole W36",unparsed_inside_event
15,49,Mixed 120-159 200 LC Meter Medley Relay,"3 Azul Natacion Mendoza A NT 3:18,34",unparsed_inside_event
15,50,Mixed 120-159 200 LC Meter Medley Relay,"1) Aguilera, Ayelen W27 2) Ventura, Maxi M32 3) Rivas, Leo M24 4) Gauna, Noe W45",unparsed_inside_event
16,2,Mixed 120-159 200 LC Meter Medley Relay,II Copa Chile 2026 - 14-03-2026,unparsed_inside_event
16,5,Mixed 160-199 200 LC Meter Medley Relay,"1 Master Providencia A 2:20,00 2:25,56",unparsed_inside_event
16,6,Mixed 160-199 200 LC Meter Medley Relay,"1) Nunñez, Manuela W29 2) Gonzalez, German M42 3) Garzon, Jean M41 4) Guadalupe, Paula W48",unparsed_inside_event
16,7,Mixed 160-199 200 LC Meter Medley Relay,"2 Nunoa Master A 2:33,00 2:26,41",unparsed_inside_event
16,8,Mixed 160-199 200 LC Meter Medley Relay,"1) Rodriguez, Diana W41 2) Gomez, Carlos M43 3) Nava, Jose M35 4) Aguilar, Glaisa W48",unparsed_inside_event
16,9,Mixed 160-199 200 LC Meter Medley Relay,"--- Penñalolen Master A 4:00,00 DQ",unparsed_inside_event
16,10,Mixed 160-199 200 LC Meter Medley Relay,"1) Sevil, Angel M54 2) Paredes, David M46 3) Herrera Rojas, Gema W34 4) Rodriguez, Erika W48",unparsed_inside_event
16,12,Mixed 200-239 200 LC Meter Medley Relay,"1 Master Providencia A 2:55,00 3:05,40",unparsed_inside_event
16,13,Mixed 200-239 200 LC Meter Medley Relay,"1) Acencio, Claudia W63 2) Dable, Marie Claire W57 3) Catalan, Marcelo M52 4) Aguilera, Juan Carlos M37",unparsed_inside_event
16,14,Mixed 200-239 200 LC Meter Medley Relay,"2 Natacion Master Recoleta A 3:10,00 3:10,40",unparsed_inside_event
16,15,Mixed 200-239 200 LC Meter Medley Relay,"1) Vasquez, Carola W49 2) Cerrada, Yorggyn M47 3) Toledo, Fredi M67 4) Perez, Paulina W56",unparsed_inside_event
16,17,Mixed 240-279 200 LC Meter Medley Relay,"1 Master Providencia A 2:40,00 2:50,25",unparsed_inside_event
16,18,Mixed 240-279 200 LC Meter Medley Relay,"1) Loayza, Alejandra W61 2) Smith, Carlos M58 3) Briones, Eduardo M57 4) Case, Cynthia W64",unparsed_inside_event
16,19,Mixed 240-279 200 LC Meter Medley Relay,"2 Penñalolen Master A 4:00,00 3:19,74",unparsed_inside_event
16,20,Mixed 240-279 200 LC Meter Medley Relay,"1) Ojeda, Veroénica W51 2) Cantoé, Claudio M66 3) Silva, Raul M56 4) Pinto Galleguillos, Rosario Soledad W67",unparsed_inside_event
16,21,Mixed 240-279 200 LC Meter Medley Relay,"3 Nunoa Master A 4:21,00 4:01,18",unparsed_inside_event
16,22,Mixed 240-279 200 LC Meter Medley Relay,"1) Gonzalez, Elena W52 2) Moreno, Luis M68 3) Lucena, Larry M51 4) Munñoz, Maria W70",unparsed_inside_event
16,24,Mixed 280-319 200 LC Meter Medley Relay,"1 Master Providencia A 4:15,00 4:12,15",unparsed_inside_event
16,25,Mixed 280-319 200 LC Meter Medley Relay,"1) Nunñez, Elizabeth W77 2) Guadalupe, Jaime M77 3) Montes, Eduardo M56 4) Toro, Soledad W72",unparsed_inside_event
16,26,Mixed 280-319 200 LC Meter Medley Relay,"--- Nunoa Master A 4:12,00 DQ",unparsed_inside_event
16,27,Mixed 280-319 200 LC Meter Medley Relay,"1) Escudero, Oriele W85 2) Catalan, Sergio M65 3) Concha, Elizabeth W68 4) Alvarez, Ricardo M73",unparsed_inside_event
